angular_velocity_x,angular_velocity_y,angular_velocity_z,battery_current,battery_voltage,esc_0_voltage,esc_1_voltage,esc_2_voltage,esc_3_voltage,motor_0_current,motor_0_force,motor_0_omega,motor_0_torque,motor_1_current,motor_1_force,motor_1_omega,motor_1_torque,motor_2_current,motor_2_force,motor_2_omega,motor_2_torque,motor_3_current,motor_3_force,motor_3_omega,motor_3_torque,orientation_w,orientation_x,orientation_y,orientation_z,position_x,position_y,position_z,timestamp,velocity_x,velocity_y,velocity_z
-1.99843e-15,0.802455,-3.03577e-17,56.2672,16.5149,14.1715,14.1715,14.3136,14.3136,11.3354,3.05835,2503.59,0.0340276,11.3354,3.05835,2503.59,-0.0339841,11.5215,3.11901,2528.09,0.0347012,11.5215,3.11901,2528.09,-0.0346577,0.999907,-2.43578e-17,0.0136499,3.19051e-19,0.000259085,1.83849e-20,0.0113066,0.13,0.000184373,-1.65859e-17,0.579464
3.10864e-15,0.84629,-4.33681e-17,57.6147,16.508,14.4377,14.4377,14.5824,14.5824,11.6504,3.18583,2549.77,0.0354785,11.6504,3.18583,2549.77,-0.0354392,11.8431,3.24899,2574.7,0.0361805,11.8431,3.24899,2574.7,-0.0361412,0.999892,-2.36649e-17,0.0146803,2.37315e-19,0.000301799,5.22745e-20,0.0128208,0.1325,-0.000370408,-1.44851e-17,0.632417
2.44259e-15,0.89165,-7.37257e-17,58.9745,16.5011,14.7036,14.7036,14.8509,14.8509,11.9686,3.31585,2595.87,0.036959,11.9686,3.31585,2595.87,-0.0369236,12.1679,3.38157,2621.23,0.03769,12.1679,3.38157,2621.23,-0.0376546,0.999876,-2.01971e-17,0.0157664,8.76843e-20,0.000350302,9.53929e-20,0.0144707,0.135,-0.00105888,-8.83944e-18,0.688073
3.10882e-15,0.938547,-7.58942e-17,60.3497,16.4941,14.9691,14.9691,15.1191,15.1191,12.2904,3.4483,2641.88,0.0384683,12.2904,3.4483,2641.88,-0.0384364,12.4964,3.51663,2667.67,0.0392289,12.4964,3.51663,2667.67,-0.0391969,0.999857,-1.67295e-17,0.0169101,-8.37478e-20,0.000405236,1.46737e-19,0.0162631,0.1375,-0.00189932,-2.94543e-18,0.746453
7.54981e-15,0.986995,-6.07153e-17,61.7424,16.487,15.2343,15.2343,15.387,15.387,12.6162,3.58307,2687.79,0.0400056,12.6162,3.58307,2687.79,-0.0399768,12.829,3.65404,2714.02,0.0407962,12.829,3.65404,2714.02,-0.0407674,0.999836,-1.00701e-17,0.0181134,-3.02945e-19,0.000467299,2.05006e-19,0.0182046,0.14,-0.00291159,8.14316e-18,0.807582
6.8838e-15,1.03701,-9.75782e-17,63.1535,16.4798,15.4992,15.4992,15.6545,15.6545,12.9462,3.72007,2733.61,0.0415702,12.9462,3.72007,2733.61,-0.0415442,13.166,3.79374,2760.26,0.0423915,13.166,3.79374,2760.26,-0.0423654,0.999812,-1.052e-18,0.0193781,-5.77732e-19,0.000537249,2.67549e-19,0.0203023,0.1425,-0.00411722,2.35502e-17,0.871485
5.55169e-15,1.08861,-1.01915e-16,64.5839,16.4724,15.7637,15.7637,15.9216,15.9216,13.2806,3.85924,2779.32,0.0431616,13.2806,3.85924,2779.32,-0.0431381,13.5074,3.93564,2806.4,0.0440139,13.5074,3.93564,2806.4,-0.0439904,0.999786,6.71708e-18,0.0207064,-8.53947e-19,0.000615905,3.30586e-19,0.0225631,0.145,-0.0055395,3.74506e-17,0.93819
6.21802e-15,1.1418,-1.27936e-16,66.0337,16.465,16.0278,16.0278,16.1884,16.1884,13.6194,4.0005,2824.93,0.0447792,13.6194,4.0005,2824.93,-0.0447579,13.8533,4.07969,2852.43,0.0456631,13.8533,4.07969,2852.43,-0.0456419,0.999756,1.40698e-17,0.0221001,-1.14064e-18,0.000704155,3.90503e-19,0.0249939,0.1475,-0.00720357,5.12674e-17,1.00772
6.88438e-15,1.17585,-1.36609e-16,65.7482,16.4663,16.3003,16.3003,16.3857,16.3857,14.0538,4.14381,2871.28,0.0464225,14.0538,4.14381,2871.28,-0.0464033,13.8897,4.22375,2888.28,0.0473176,13.8897,4.22375,2888.28,-0.0472984,0.999723,2.22547e-17,0.0235482,-1.46668e-18,0.000802938,4.43656e-19,0.0276014,0.15,-0.00910878,6.74832e-17,1.07975
6.66262e-15,1.19994,-1.75641e-16,56.705,16.5114,16.3579,16.3579,16.4406,16.4406,13.5842,4.28251,2885.71,0.0480244,13.5842,4.28251,2885.71,-0.0480071,13.6221,4.35963,2900.56,0.0488937,13.6221,4.35963,2900.56,-0.0488764,0.999687,3.07168e-17,0.0250327,-1.828e-18,0.000913107,4.86021e-19,0.0303892,0.1525,-0.0112322,8.50746e-17,1.15209
